,best time ,mean time for top 25%,standart deviation for top 25%,mean time for all,standart deviation for all
0,-0.45737044189486337,625.46875,103.13279800062394,650.4330708661417,116.68124629530863
1,675.0,647.90625,121.77113763506318,629.0787401574803,124.18373524419452
2,848.0,608.5625,111.63387072815311,654.1811023622047,127.71969907826697
3,685.0,649.875,77.38852870419491,661.0944881889764,111.36705524185321
4,451.0,641.3125,97.28162644482256,631.2362204724409,109.72567487806786
5,792.0,626.9375,111.3002519932008,645.496062992126,115.37810993518877
6,501.0,629.25,122.15205687993961,623.6377952755905,116.76800266140074
7,750.0,593.53125,107.32805562124705,646.3070866141733,121.82506574056625
8,477.0,625.75,113.82607346298123,644.3385826771654,115.66461293155037
9,644.0,597.09375,115.27287174759506,623.1889763779527,109.90860428466277
10,609.0,613.875,111.81450878575642,638.0629921259842,114.35073467267729
11,680.0,648.90625,93.24174205224557,637.0787401574803,113.96570877402358
12,645.0,651.6875,123.88892139231014,633.8346456692914,111.84394103452495
13,645.0,620.59375,125.95010405290462,636.8740157480315,123.90706398717151
14,649.0,653.1875,89.4826929844537,637.496062992126,109.82060346369386
15,404.0,651.6875,105.21360341586063,614.6535433070866,114.89751530332606
16,670.0,640.15625,114.76527931363867,642.3937007874016,104.54077737202968
17,721.0,677.90625,103.60030145196248,658.5196850393701,106.34543701872661
18,763.0,655.5,122.60301790739085,645.1417322834645,119.22067967907633
19,690.0,648.28125,106.39350143893893,642.1574803149606,112.65223646715924
20,824.0,614.125,106.40481368340438,635.4409448818898,111.13641001311524
21,634.0,635.15625,111.80901947489522,631.1574803149606,109.5679004373526
22,711.0,627.4375,108.03874811265632,636.2913385826772,100.11639763088836
23,626.0,598.96875,95.3898200723615,634.4488188976378,109.89950374684067
24,602.0,642.25,118.00397239076318,646.8661417322835,122.52657511545495
25,574.0,661.65625,114.32016701325055,652.2204724409448,117.34255079274718
26,512.0,637.78125,125.30456256033736,638.4488188976378,121.04776883992815
27,684.0,642.15625,116.77224343112321,661.3464566929134,108.95201413963291
28,727.0,652.21875,100.12327850423947,634.0393700787401,115.72757867399167
29,468.0,626.125,97.90069905266255,626.3385826771654,108.89337560905393
30,553.0,629.65625,110.17446657886526,630.3307086614174,110.84450732900395
31,754.0,631.96875,116.8854900038388,665.6377952755905,110.05443673000232
32,515.0,617.3125,128.54995077303607,647.9685039370079,112.63332865778872
33,469.0,654.28125,123.73086578714909,639.1496062992126,120.88200003687838
34,690.0,644.4375,108.11277026212028,644.4015748031496,116.22007767254722
35,616.0,685.5625,96.96743573875716,657.1574803149606,109.383773228115
36,723.0,631.125,102.73197834656938,651.1653543307086,110.66397772099073
37,630.0,635.4375,118.2076926166398,633.992125984252,115.03559846576984
38,682.0,629.6875,103.33030699533414,643.8582677165355,108.49091724452443
39,607.0,653.125,90.49680588285976,651.8031496062993,102.73971694967277
40,789.0,655.21875,121.273640575508,644.3543307086615,107.90251706937323
41,648.0,650.21875,116.28245094784295,649.1259842519685,104.06849592697921
42,746.0,662.5,84.64078508615098,644.0,112.03416239391932
43,683.0,667.25,124.28922921959087,651.8740157480315,122.093032304948
44,648.0,658.25,104.39169028232084,638.7086614173228,114.07402695516299
45,872.0,650.3125,143.21453258573308,646.0393700787401,125.41869415560699
46,647.0,648.15625,123.80405621762762,642.8031496062993,116.72594185480366
47,724.0,637.3125,102.93123842522249,645.9763779527559,107.39524942696114
48,702.0,654.90625,114.2046844964667,631.8740157480315,111.92847773452587
49,608.0,653.53125,114.36591067025829,659.9685039370079,109.30596636775401
50,865.0,620.625,101.10970218035457,636.2755905511812,120.3340937913618
51,752.0,634.78125,120.32267408280744,646.8031496062993,110.73640684573256
52,535.0,669.875,106.403638918037,654.0157480314961,107.62496741122489
53,444.0,634.34375,117.6601592976038,645.0314960629921,107.38780536113715
54,464.0,675.90625,99.23499866950924,632.9763779527559,114.78438977017855
55,805.0,656.84375,110.11502774797589,648.6614173228346,112.19002583654125
56,703.0,665.5,92.96740020028525,645.0866141732283,103.82571887331096
57,681.0,636.90625,114.80645652983765,645.7007874015748,104.12971279127862
58,701.0,639.1875,120.08341827142497,658.4015748031496,116.19785324988669
59,691.0,656.34375,140.71038727093853,661.007874015748,118.8550030458268
60,537.0,650.53125,92.04380220002594,625.1338582677165,115.38046356859012
61,519.0,603.34375,125.28931752522838,634.3700787401575,124.39344509843905
62,623.0,656.40625,116.10067274110645,652.9527559055118,113.94693185780194
63,494.0,641.03125,120.64785648090687,630.7952755905512,114.67409064079875
64,542.0,659.71875,116.26699724529527,642.8188976377953,114.80050600198744
65,521.0,655.375,125.99944196304997,645.5511811023622,118.49832775067908
66,832.0,642.375,102.94954771634502,649.6614173228346,115.57417228247235
67,769.0,641.15625,121.17938907230676,665.2362204724409,110.59890337718026
68,494.0,638.5,121.01962650743887,645.4409448818898,123.32682739376988
69,758.0,613.65625,128.78824902116457,634.9291338582677,119.9735654021868
70,851.0,697.09375,109.30815368003204,667.6850393700787,114.98851026391716
71,762.0,676.15625,111.45377667866397,658.4330708661417,112.61023229764174
72,712.0,649.65625,120.50456666009592,651.7795275590552,116.54460221429652
73,650.0,644.78125,119.75932489137328,654.5354330708661,109.52918535844633
74,664.0,638.96875,126.82480149181193,636.0629921259842,123.41848328449039
75,706.0,648.75,116.49946351807806,639.6614173228346,114.47044940493407
76,478.0,640.4375,108.10987972313168,639.7559055118111,110.27194134412478
77,442.0,634.78125,104.83610255268697,629.1181102362204,113.13629256627331
78,693.0,609.03125,125.92618978368837,634.0866141732283,124.08544323325943
79,672.0,670.1875,81.67061799539661,657.7874015748032,109.06269452632588
80,567.0,653.1875,119.44597039561444,637.6614173228346,120.19198687195171
81,684.0,660.125,103.2435682016076,651.3228346456693,113.78961675018401
82,840.0,592.125,93.50793749730555,623.2677165354331,118.82266604336031
83,397.0,668.3125,100.51070760744847,654.8818897637796,117.40579162988433
84,889.0,641.53125,98.63949018236814,642.7795275590552,113.32553022753348
85,684.0,620.3125,135.47888154155245,645.1259842519685,117.69866717152114
86,651.0,637.125,90.1189318345485,640.8897637795276,94.49053015472279
87,516.0,650.8125,92.58119325084334,626.9842519685039,113.55882198760298
88,563.0,638.03125,97.97719261867785,652.2519685039371,101.21793502211325
89,659.0,608.71875,130.02793795349328,634.1653543307086,120.74132979612838
90,526.0,630.03125,97.30862126984177,640.1102362204724,112.71706815861965
91,707.0,649.40625,124.14176859920073,659.3622047244095,113.71484361388937
92,490.0,622.03125,112.23510045185284,640.8897637795276,124.0908499007
93,712.0,645.28125,100.63679569838013,640.6456692913385,103.07680246134147
94,810.0,628.34375,127.97963934133234,636.3543307086615,120.97696322379421
95,552.0,647.09375,106.47075871307342,638.9685039370079,108.5195244966287
96,472.0,638.625,116.20422485865133,662.1181102362204,112.54973453049762
97,705.0,656.84375,121.39247026046344,657.0472440944882,104.31024728786419
98,615.0,643.875,96.12321194695899,637.8661417322835,106.49530411478055
99,644.0,622.34375,123.05832188819048,636.0236220472441,115.86731921672877
100,650.0,650.78125,113.85811740248255,647.0314960629921,107.04763359547803
101,460.0,636.75,112.10374659216346,638.4488188976378,111.59119067913771
102,643.0,653.53125,125.15964414873311,642.8503937007874,109.0372383648756
103,719.0,606.8125,110.17867236334807,622.5748031496063,113.91954058599191
104,740.0,663.78125,109.84555475046544,647.5905511811023,114.06348241639846
105,658.0,621.40625,102.58711522865579,640.1496062992126,106.6432036913079
106,720.0,647.59375,134.74092255487008,643.1496062992126,127.39448799187171
107,559.0,652.4375,127.58525029857488,649.5669291338583,119.61721036938636
108,704.0,631.46875,136.01010632830744,643.8976377952756,122.7885856505951
109,761.0,681.46875,111.90871960413764,652.503937007874,120.58224063332672
110,780.0,639.9375,123.10639136027828,646.4645669291339,119.73197069909781
111,521.0,619.75,129.564414481755,647.1023622047244,116.72154323790151
112,3.372391809468897,633.96875,93.44366095909075,641.2283464566929,115.98725079113088
113,625.0,636.90625,108.35917109750102,636.9842519685039,115.94079294422191
114,698.0,638.84375,128.71652705048214,648.0944881889764,115.79118002332795
115,682.0,644.46875,109.09313233855512,642.3700787401575,120.4179599933921
116,776.0,652.90625,108.80698489038973,637.5984251968504,113.88993580573727
117,589.0,682.71875,99.57542190941247,639.9527559055118,118.6855740371633
118,697.0,654.34375,106.44529386467727,641.8661417322835,109.20120577084614
119,428.0,606.875,135.23238101505126,639.8346456692914,121.38763079454934
120,588.0,639.03125,114.48457439077764,651.5196850393701,122.28686104464686
121,488.0,634.15625,124.95201813471242,642.5748031496063,110.85008104408826
122,591.0,633.5,115.84850020608812,644.8267716535433,111.48977527979855
123,648.0,627.65625,121.68006445567615,632.4645669291339,112.29802834286245
124,581.0,672.375,102.72528595725592,655.0236220472441,101.20054655534844
125,750.0,673.6875,110.03477788294936,647.8740157480315,113.74754420649101
126,697.0,632.96875,121.68850715428101,634.3700787401575,121.26796015368741
127,437.0,665.8125,105.95265378342347,634.1732283464567,116.52731723176039
128,694.0,649.75,114.9684739395979,651.6850393700787,110.59116030139784
129,615.0,669.6875,92.72184124439075,633.1181102362204,112.29927774592127
130,754.0,629.0,119.76304730591987,642.4803149606299,116.63806663725688
131,494.0,657.15625,108.66292760614128,640.9133858267717,107.86219143195953
132,522.0,648.46875,100.90279492381516,632.4094488188977,110.38553442336736
133,783.0,618.0625,118.09554857720083,648.6929133858267,107.4470030001624
134,702.0,656.9375,101.9800646879085,638.5511811023622,112.50803706454401
135,737.0,622.09375,97.25846986734626,651.8346456692914,115.68418615204868
136,843.0,656.8125,90.46906843639985,651.1968503937007,109.74559265952422
137,724.0,653.53125,132.22211056944107,660.6692913385826,115.63757223366558
138,417.0,629.96875,101.85482449760296,653.503937007874,115.45792934687032
139,612.0,637.1875,100.89333399065569,651.3779527559055,115.86979721920557
140,462.0,620.8125,104.9155724559038,613.8582677165355,105.43533484188147
141,635.0,619.34375,121.41216201821587,633.4645669291339,119.33066579725264
142,681.0,619.90625,120.08808209367614,639.1574803149606,109.30636171678857
143,667.0,642.65625,111.84576695582851,640.5433070866142,119.96887758524366
144,503.0,683.40625,96.68145484495722,655.3700787401575,114.70783174558453
145,841.0,640.0,115.49675320111817,636.3622047244095,117.37004334775611
146,569.0,688.59375,91.05247778582141,647.6771653543307,113.69463743264745
147,527.0,655.90625,105.94230722868697,648.5433070866142,111.56014273624294
148,539.0,627.75,128.14786381364303,643.2283464566929,114.99326847647905
149,608.0,657.5,100.73604121663706,646.0708661417323,120.2471982159142
150,470.0,670.5625,126.68068555920433,646.4566929133858,118.48570503535267
151,785.0,638.15625,110.21431093981171,658.7244094488188,113.70618839005445
152,392.0,625.28125,90.07678473634314,629.5354330708661,108.26875246462166
153,831.0,628.9375,105.37698322570256,645.4803149606299,94.97068344948049
154,703.0,639.21875,127.80105006782026,633.007874015748,116.61292698989028
155,767.0,639.8125,101.81737250464677,640.007874015748,112.40964848205043
156,554.0,642.90625,115.64745981186746,631.7952755905512,116.9843073521245
157,732.0,635.625,90.05510465820358,651.8503937007874,104.6256226984664
158,596.0,626.59375,117.05470392486369,624.4330708661417,108.0012095697198
159,608.0,658.375,96.57760804140885,637.2125984251968,111.99427923531255
160,416.0,651.40625,118.94480321114285,634.8818897637796,120.20793101910273
161,625.0,659.28125,118.54066664414158,653.0,116.63625400376804
162,550.0,634.8125,94.66237290365164,637.9212598425197,110.62539514937835
163,682.0,635.5,104.78758275673698,630.3149606299213,111.04852459870699
164,798.0,642.53125,121.53651312851419,642.1181102362204,115.51975078585325
165,608.0,663.0,124.23742391083292,629.4566929133858,124.54065243424823
166,501.0,645.1875,97.75205800263235,639.6456692913385,105.65018250775587
167,644.0,651.09375,103.03833005701082,644.3700787401575,111.00420671248372
168,820.0,650.375,122.24328969313612,651.5590551181102,112.92326525268241
169,742.0,674.71875,95.65668898951866,662.3858267716536,107.29545985097138
170,449.0,660.375,88.36704348907459,645.7086614173228,114.43446085201634
171,393.0,631.375,132.62417530375072,656.0314960629921,122.37150979526575
172,623.0,677.46875,91.6586685667946,656.3228346456693,111.97756256477916
173,467.0,615.3125,110.0427296269499,613.4251968503937,109.24238164648324
174,812.0,611.09375,111.52223975933006,630.8188976377953,126.30025575393427
