,best time ,mean time for top 25%,standart deviation for top 25%,mean time for all,standart deviation for all
0,0.04666660733681698,635.65625,116.82481793667603,651.6535433070866,118.56360650156343
1,556.0,650.28125,127.03573177825797,621.9606299212599,114.71926717435272
2,705.0,655.625,102.54076933103242,652.5905511811023,112.06538827533906
3,637.0,658.46875,103.96272901111003,659.2362204724409,118.28774849485845
4,600.0,652.65625,129.97201847296787,651.4803149606299,118.41863882830287
5,830.0,636.84375,119.93282217949138,638.0944881889764,109.05661558424966
6,662.0,662.625,112.83360259692145,649.4488188976378,121.0477037910806
7,764.0,634.875,124.12084585193577,660.2677165354331,118.98226221398484
8,507.0,644.1875,103.53303745061284,643.7874015748032,109.14698822290093
9,828.0,596.25,140.72379862695578,629.5826771653543,122.29069800287199
10,552.0,640.40625,125.534571775816,647.4409448818898,110.50725230366386
11,661.0,678.25,102.27078028449769,647.4803149606299,117.4365199870656
12,478.0,644.03125,107.41231434727352,644.1259842519685,116.16144020698255
13,755.0,605.65625,115.51910268841903,632.6456692913385,105.43225817520049
14,491.0,611.59375,116.95802114834835,638.5905511811023,112.06911213609123
15,470.0,641.625,91.75366137108644,647.0629921259842,111.57390460798787
16,778.0,626.15625,103.40971586817895,632.7716535433071,113.48829687323294
17,654.0,664.8125,126.67217470206312,664.9685039370079,116.1792625869269
18,594.0,642.6875,121.03962096664877,644.0708661417323,116.43099278264425
19,561.0,638.84375,110.67269010888594,654.5354330708661,108.45077952298524
20,673.0,661.0625,92.23642769399734,638.9370078740158,105.28414855762419
21,532.0,643.9375,98.60778921439218,641.2755905511812,115.31720560313548
22,937.0,683.0625,102.42312284708956,650.488188976378,113.79715799432925
23,515.0,638.125,122.84104312077459,647.7559055118111,106.79295713422017
24,785.0,613.375,112.80811972105555,615.511811023622,109.13409119289774
25,462.0,673.90625,102.95914219212153,659.2677165354331,116.26533926866695
26,546.0,640.96875,96.46776805460723,637.503937007874,107.35318661974294
27,664.0,658.875,99.94490669864072,650.8582677165355,111.14038256353662
28,712.0,640.40625,119.07898097874998,632.9370078740158,113.0121412215879
29,388.0,658.59375,117.01625404591236,648.6850393700787,117.51915245398253
30,586.0,632.21875,111.27885422863366,634.4645669291339,117.16256928787148
31,576.0,676.125,117.27818158123019,659.7480314960629,111.78106896078046
32,742.0,677.6875,128.85758551109825,646.3228346456693,118.22731887088472
33,696.0,641.21875,115.21223198270876,653.7874015748032,117.3525967640424
34,651.0,643.6875,118.91684003432819,640.1181102362204,122.94667009629572
35,720.0,682.78125,89.85256478497149,649.0708661417323,119.15048257424304
36,497.0,627.15625,104.15406538363013,637.7244094488188,107.59509086109438
37,666.0,631.625,106.1952064596138,643.9842519685039,113.28946857059299
38,769.0,661.3125,122.66224905711618,648.7322834645669,118.6623907290172
39,625.0,673.28125,126.7806260768478,648.8346456692914,118.43970948938353
40,469.0,678.25,119.16322838862666,671.5590551181102,114.63750836230106
41,644.0,647.78125,91.74071287295243,644.8267716535433,103.75509432427496
42,574.0,657.8125,117.35002063804676,647.3779527559055,117.02795474195207
43,686.0,627.0625,107.9032951014472,632.2992125984252,119.02459978387118
44,570.0,626.375,114.32703912460954,629.2362204724409,110.4262647558084
45,672.0,639.71875,123.77682395520375,643.7716535433071,111.33698503124859
46,656.0,651.09375,113.42270478584744,645.0,109.68365391893121
47,773.0,633.90625,106.69300567955474,654.3543307086615,110.03546511742098
48,505.0,653.375,108.9741225016288,626.511811023622,109.07924347263649
49,612.0,657.03125,113.41998401268403,654.5669291338583,104.57251491104988
50,694.0,625.6875,117.17173227254942,627.503937007874,115.87903508357992
51,483.0,635.0,110.99718464898108,653.5275590551181,115.10357039494403
52,745.0,685.46875,121.63341039137849,656.1259842519685,113.08327306747579
53,643.0,644.125,123.96792679963636,645.4173228346457,110.30504881648703
54,574.0,693.59375,116.8660716843751,656.5826771653543,110.79820921154965
55,647.0,628.75,109.41092267228167,652.7952755905512,114.66028828658779
56,812.0,670.4375,93.84093506434172,652.2834645669292,108.22315074188475
57,738.0,670.875,98.07897009553068,662.6535433070866,111.74840821870116
58,567.0,644.75,114.7486383361476,654.2204724409448,115.54819108393228
59,691.0,642.09375,156.86107694688795,652.2362204724409,120.68782249713927
60,717.0,653.15625,128.1634965032458,645.4724409448819,119.66836238970563
61,802.0,632.4375,121.40606901530911,650.992125984252,122.22217384959066
62,604.0,686.53125,104.15582808195373,667.496062992126,109.36249583980329
63,696.0,643.90625,116.84481144208972,642.7952755905512,117.16307624150566
64,588.0,677.84375,92.94054193912095,640.496062992126,113.07511781096908
