,best time ,mean time for top 25%,standart deviation for top 25%,mean time for all,standart deviation for all
0,984.0,780.125,54.62070921363068,636.3671875,112.25458447582372
1,971.0,827.375,55.365687704570234,669.3984375,126.11987971790408
2,945.0,813.25,46.30739681735522,682.75,103.24984866816997
3,973.0,827.28125,46.58609930480873,672.265625,125.18526797654496
4,1096.0,864.28125,69.33128549534834,687.2734375,140.04155158178443
5,1060.0,891.375,59.41682737238669,721.1796875,135.2947842671784
6,1232.0,935.53125,87.17044524056017,735.453125,154.94711090476767
7,1094.0,926.40625,70.17293788161858,728.15625,152.33476896604236
8,1105.0,943.40625,64.36558638696225,754.8125,145.82002766681262
9,1188.0,959.375,95.78744372306842,751.4375,165.8681587700002
10,1352.0,993.1875,98.09575599255047,750.8125,183.8932158720109
11,1175.0,1005.78125,84.5228276765366,776.6640625,168.54511994862412
12,1174.0,1019.46875,70.72437008158856,791.0390625,174.20392155924932
13,1238.0,1030.6875,87.36719832837723,808.203125,175.60713251526653
14,1367.0,1080.21875,107.21815796980239,813.75,201.62662739578818
15,1396.0,1026.0,102.32637734230603,797.9375,180.5706124865007
16,1636.0,1098.84375,134.4932873266822,842.640625,192.11844224230367
17,1332.0,1029.03125,97.25465425077353,807.5546875,177.19907627941333
18,1399.0,1070.96875,100.75201126249291,833.015625,180.3749993232415
19,1311.0,1076.6875,75.66225838388648,852.6640625,178.55366303578342
20,1689.0,1145.84375,160.07012318336456,874.171875,208.07199435287868
21,1753.0,1292.4375,182.6098877217496,948.1328125,258.61347156198156
22,2901.0,1499.46875,371.18905092073703,1044.984375,362.4232458478062
23,2550.0,1654.28125,324.23248163692284,1138.578125,380.781302254305
24,2047.0,1416.9375,226.52551422246015,1041.1015625,290.85184264941245
25,1899.0,1478.34375,163.08828310438952,1057.578125,306.4154810408318
26,2690.0,1634.40625,275.18639812123257,1157.375,353.1566136291376
27,2157.0,1515.875,215.73866569300924,1101.4375,315.6981536511577
28,2371.0,1614.125,260.26005624182903,1117.484375,360.5459398687765
29,3000.0,2020.375,407.7498275597428,1346.4609375,495.0550459031007
30,3000.0,2246.96875,408.7975113346918,1440.0625,578.0708454365694
31,3000.0,2447.34375,348.351978013528,1597.4375,607.3392502084399
32,3000.0,2819.5,202.452772270473,1800.7421875,730.8160383914784
33,3000.0,2674.90625,304.9975777951974,1737.6171875,682.4537086074702
34,3000.0,2824.25,219.8517966722128,1872.234375,674.8313155473443
35,3000.0,2925.5,114.04796140221008,1893.8125,760.0392645079266
36,3000.0,3000.0,0.0,2055.4140625,784.2555539266178
37,3000.0,3000.0,0.0,2222.578125,748.10409963887
38,3000.0,3000.0,0.0,1978.828125,820.0696722437579
39,3000.0,3000.0,0.0,2186.296875,743.0808687419118
40,3000.0,3000.0,0.0,2006.078125,891.9718378522297
41,3000.0,3000.0,0.0,2155.6015625,808.1425591658062
42,3000.0,3000.0,0.0,2328.375,732.7856418319071
43,3000.0,3000.0,0.0,2121.578125,759.1366355251763
44,3000.0,3000.0,0.0,2395.9140625,771.5130024356337
45,3000.0,3000.0,0.0,2294.8046875,824.0493771100901
46,3000.0,3000.0,0.0,2121.46875,858.5407945452781
47,3000.0,3000.0,0.0,2153.09375,833.2052234209393
48,3000.0,3000.0,0.0,1863.21875,837.5312861460385
49,3000.0,3000.0,0.0,1991.875,795.8538064556832
50,3000.0,3000.0,0.0,2124.296875,758.0744043233714
51,3000.0,3000.0,0.0,2296.7265625,841.01105182657
52,3000.0,3000.0,0.0,1898.3828125,863.5110118099768
53,3000.0,3000.0,0.0,1807.3359375,904.5418149309053
54,3000.0,3000.0,0.0,2187.4375,853.5076316845386
55,3000.0,3000.0,0.0,2265.859375,871.8445669811847
56,3000.0,3000.0,0.0,2240.5234375,851.2428594124497
57,3000.0,3000.0,0.0,2064.1171875,915.9931906567809
58,3000.0,3000.0,0.0,2146.75,876.21166998905
59,3000.0,3000.0,0.0,2005.078125,923.2807130805259
60,3000.0,3000.0,0.0,2053.953125,827.0496684315485
61,3000.0,3000.0,0.0,2091.4921875,884.8609530253693
62,3000.0,3000.0,0.0,2027.1640625,860.6620977602047
63,3000.0,3000.0,0.0,1835.453125,939.1495808989824
64,3000.0,3000.0,0.0,2000.5078125,819.1061534160056
65,3000.0,3000.0,0.0,2083.359375,893.3937553506904
66,3000.0,3000.0,0.0,2049.5703125,909.40223055101
67,3000.0,3000.0,0.0,1825.015625,895.3340419256152
68,3000.0,3000.0,0.0,2135.953125,832.8401506608182
69,3000.0,3000.0,0.0,1920.796875,858.307094293898
70,3000.0,3000.0,0.0,1988.109375,870.8188516632546
71,3000.0,3000.0,0.0,2020.8671875,856.194965120877
72,3000.0,3000.0,0.0,2222.171875,851.615992442594
73,3000.0,3000.0,0.0,2399.28125,749.3178662279697
74,3000.0,3000.0,0.0,2284.5625,825.7064565229886
75,3000.0,3000.0,0.0,2117.34375,847.1568943890721
76,3000.0,3000.0,0.0,2131.2265625,812.0963633442361
77,3000.0,3000.0,0.0,2302.84375,791.8411440819033
78,3000.0,3000.0,0.0,2295.921875,812.6545103987822
79,3000.0,3000.0,0.0,1986.9140625,821.2755421003636
80,3000.0,3000.0,0.0,2229.75,805.3381374460047
81,3000.0,3000.0,0.0,2216.515625,815.5617598507542
82,3000.0,3000.0,0.0,2210.1328125,825.0188290568524
83,3000.0,3000.0,0.0,2282.34375,782.6914645701315
84,3000.0,3000.0,0.0,2043.2109375,860.5837104505704
85,3000.0,3000.0,0.0,2298.1796875,754.7699301110918
86,3000.0,3000.0,0.0,2228.390625,810.8315391695795
87,3000.0,3000.0,0.0,2300.625,795.9434555136439
88,3000.0,3000.0,0.0,2321.7421875,891.2007458873758
89,3000.0,3000.0,0.0,2149.125,783.151485984672
90,3000.0,3000.0,0.0,2073.9453125,820.3375573181917
91,3000.0,3000.0,0.0,2125.984375,801.2455634079101
92,3000.0,3000.0,0.0,2045.1640625,850.6890385275904
93,3000.0,3000.0,0.0,2260.671875,818.1716765654897
94,3000.0,3000.0,0.0,2353.40625,754.2163610900637
95,3000.0,3000.0,0.0,2309.4609375,756.2569307775772
96,3000.0,3000.0,0.0,2534.28125,752.2692330698083
97,3000.0,3000.0,0.0,2228.1328125,852.2580244112341
98,3000.0,3000.0,0.0,2388.8671875,824.8978854520964
99,3000.0,3000.0,0.0,1973.21875,911.7270436640769
100,3000.0,3000.0,0.0,2307.34375,901.9686839552344
101,3000.0,3000.0,0.0,1893.4609375,901.4735411253738
102,3000.0,3000.0,0.0,1889.0625,949.1861954294058
103,3000.0,3000.0,0.0,2044.7109375,915.7957277037118
104,3000.0,3000.0,0.0,1947.984375,928.7205158877774
105,3000.0,3000.0,0.0,1901.6640625,972.7458098514206
106,3000.0,3000.0,0.0,2121.4609375,994.2927283874308
107,3000.0,3000.0,0.0,1752.4375,918.1341452063255
108,3000.0,3000.0,0.0,1795.1640625,935.4551179885628
109,3000.0,3000.0,0.0,1968.078125,919.9730261787486
