,tournament,best_winning_streak,mean_duration,stdev
0,1000.0,16.0,640.666,113.99677383154315
1,2000.0,30.0,645.135,110.96078034603036
2,3000.0,42.0,633.67,112.44903334399989
3,4000.0,50.0,637.575,111.93148071476585
4,5000.0,57.0,641.483,114.18421830971212
5,6000.0,69.0,635.898,114.8680703938218
6,7000.0,75.0,642.976,112.14255848695446
7,8000.0,81.0,634.888,112.88188276246991
8,9000.0,89.0,638.89,114.73196546734479
9,10000.0,103.0,627.079,111.15812502466925
10,11000.0,115.0,632.658,111.68517822880528
11,12000.0,123.0,634.783,116.98725533578434
12,13000.0,129.0,633.801,105.9666522968429
13,14000.0,137.0,633.769,111.29467929330674
14,15000.0,144.0,637.812,110.80547213924048
15,16000.0,152.0,627.419,111.2914526771935
16,17000.0,152.0,628.511,112.17717182653519
17,18000.0,153.0,634.642,110.41415595837339
18,19000.0,154.0,639.234,111.05786439509811
19,20000.0,161.0,635.358,115.34346897852518
20,21000.0,164.0,636.521,111.2482789035408
21,22000.0,174.0,630.908,110.3698941559699
22,23000.0,181.0,638.089,108.71411628210937
23,24000.0,188.0,636.43,115.21448303056347
24,25000.0,199.0,635.241,110.13664657596944
25,26000.0,202.0,623.868,108.19493784831155
26,27000.0,212.0,626.187,110.844711335273
27,28000.0,223.0,628.027,111.27254949447325
28,29000.0,233.0,631.015,112.51083847789954
29,30000.0,244.0,634.843,110.9156812673483
30,31000.0,248.0,639.823,115.1592969368952
31,32000.0,258.0,649.42,112.97502201814346
32,33000.0,268.0,650.843,117.91517438820162
33,34000.0,278.0,649.306,115.76260347797988
34,35000.0,284.0,652.511,121.66225330397263
35,36000.0,294.0,659.665,116.24627639197739
36,37000.0,296.0,666.381,124.48706695476442
37,38000.0,305.0,666.578,125.09453991281954
38,39000.0,313.0,674.586,127.51105286993752
39,40000.0,320.0,670.954,124.29181744588016
40,41000.0,329.0,676.852,128.55293888511457
41,42000.0,337.0,671.062,123.28879168845803
42,43000.0,351.0,669.681,123.06580857004921
43,44000.0,365.0,683.694,124.87694888969702
44,45000.0,374.0,673.381,130.18856262744436
45,46000.0,381.0,686.664,132.45343749408696
46,47000.0,391.0,691.309,134.84953659171396
47,48000.0,406.0,686.265,131.89744036561135
48,49000.0,415.0,700.781,136.03810877471062
49,50000.0,423.0,697.646,141.72887032640878
50,51000.0,429.0,722.907,140.6289100825289
51,52000.0,440.0,724.975,151.95345463331856
52,53000.0,448.0,709.268,141.60394124458543
53,54000.0,455.0,719.464,136.3955010401736
54,55000.0,466.0,702.955,132.55211418532713
55,56000.0,472.0,707.501,143.92264588660117
56,57000.0,473.0,693.936,133.36986880101517
57,58000.0,480.0,711.303,137.79895206785864
58,59000.0,492.0,706.797,138.20246666033137
59,60000.0,503.0,689.817,132.07519642612687
60,61000.0,516.0,688.64,133.85897952696337
61,62000.0,516.0,682.293,130.14116624266128
62,63000.0,524.0,687.738,134.62218745808582
63,64000.0,529.0,692.474,134.38012250329288
64,65000.0,543.0,688.84,131.82936850338015
65,66000.0,548.0,699.452,135.57548338840618
66,67000.0,551.0,693.736,132.79692128961426
67,68000.0,564.0,723.046,139.81365414007317
68,69000.0,576.0,737.184,153.14154284190818
69,70000.0,584.0,733.098,146.84109232772684
70,71000.0,591.0,740.513,151.81822628064126
71,72000.0,599.0,730.502,147.53110179213058
72,73000.0,609.0,737.967,153.76611431326475
73,74000.0,617.0,754.524,154.57425860731146
74,75000.0,624.0,739.059,145.80175416983158
75,76000.0,637.0,740.762,151.07200718862512
76,77000.0,642.0,744.366,148.87832630708877
77,78000.0,649.0,734.142,146.90235476669528
