,tournament,best_winning_streak,mean_duration,stdev
117,118000.0,1161.0,2331.517,709.0286508393015
118,119000.0,1177.0,2364.688,701.5950930957258
119,120000.0,1186.0,2456.065,669.2946397327562
120,121000.0,1199.0,2480.407,654.1632635290673
121,122000.0,1213.0,2496.081,676.3159738162333
122,123000.0,1220.0,2467.389,697.336146832358
123,124000.0,1240.0,2507.612,650.6218820912804
124,125000.0,1248.0,2529.987,656.8062064498173
125,126000.0,1258.0,2513.004,673.1648015040596
126,127000.0,1267.0,2499.152,670.1541321934828
127,128000.0,1278.0,2562.888,657.7219058659974
128,129000.0,1286.0,2540.953,659.5511767793307
129,130000.0,1297.0,2516.87,649.7520997272729
130,131000.0,1310.0,2560.618,630.4710794921524
131,132000.0,1322.0,2569.361,632.8846914557184
132,133000.0,1332.0,2533.413,666.4418582524661
133,134000.0,1341.0,2502.558,671.0150286215652
134,135000.0,1350.0,2567.965,635.3886368003444
135,136000.0,1365.0,2544.637,646.4442367528695
136,137000.0,1383.0,2552.351,643.2542543963468
137,138000.0,1376.0,2645.783,613.9838596502354
138,139000.0,1387.0,2629.234,598.9899992854639
139,140000.0,1397.0,2670.568,584.4678292053379
140,141000.0,1412.0,2638.231,611.586938741337
141,142000.0,1421.0,2592.714,628.0684820972949
142,143000.0,1430.0,2593.853,625.5228448194358
143,144000.0,1438.0,2570.617,630.8318906895878
144,145000.0,1457.0,2626.581,606.7291582238322
145,146000.0,1459.0,2660.604,594.7342408034027
146,147000.0,1468.0,2723.735,540.9629957538685
147,148000.0,1482.0,2659.737,587.2938479424078
148,149000.0,1493.0,2762.517,506.02137080463314
149,150000.0,1505.0,2759.778,511.595860729932
150,151000.0,1509.0,2773.126,499.874898473608
151,152000.0,1515.0,2804.924,459.13331421712365
152,153000.0,1528.0,2827.356,425.8615094887069
153,154000.0,1538.0,2818.213,437.0061597174575
154,155000.0,1551.0,2807.585,455.2892627495184
155,156000.0,1560.0,2792.413,471.09629846879506
156,157000.0,1569.0,2795.777,477.19052303141984
157,158000.0,1579.0,2800.253,469.1172316074097
158,159000.0,1589.0,2815.181,443.94649929805735
159,160000.0,1602.0,2803.409,483.4712935831868
160,161000.0,1609.0,2800.021,491.2720066918122
161,162000.0,1613.0,2809.928,463.70594649626827
162,163000.0,1623.0,2844.552,427.1151218301688
163,164000.0,1630.0,2803.76,481.21393205101623
164,165000.0,1635.0,2745.797,521.3335552129749
165,166000.0,1648.0,2787.636,477.81626751712844
166,167000.0,1653.0,2868.305,385.2532880781162
167,168000.0,1663.0,2877.314,367.7448427972852
168,169000.0,1670.0,2845.289,436.1016068291884
169,170000.0,1679.0,2875.421,365.54277144952545
170,171000.0,1696.0,2870.796,377.80034460545426
171,172000.0,1705.0,2888.014,342.8322735741196
172,173000.0,1705.0,2886.654,365.6204429240794
173,174000.0,1715.0,2916.821,297.938485192833
174,175000.0,1722.0,2926.749,277.32804401827093
175,176000.0,1737.0,2915.024,314.55294216395436
176,177000.0,1748.0,2912.904,311.5262312936103
177,178000.0,1754.0,2929.134,294.3821598602741
178,179000.0,1754.0,2938.903,258.19987914598255
179,180000.0,1762.0,2939.746,263.0810473675365
180,181000.0,1770.0,2929.378,296.21154453532023
181,182000.0,1777.0,2934.88,279.78910557775475
182,183000.0,1786.0,2932.272,268.8774702648029
183,184000.0,1788.0,2918.765,313.8890978912775
184,185000.0,1798.0,2943.321,249.98503146988622
185,186000.0,1801.0,2933.873,278.50005542369286
186,187000.0,1801.0,2937.004,268.6779856705793
187,188000.0,1810.0,2931.337,284.3753917465434
188,189000.0,1818.0,2953.257,223.81100721590974
189,190000.0,1828.0,2945.447,251.36580354336186
190,191000.0,1833.0,2918.356,318.8704772536962
191,192000.0,1837.0,2951.748,236.1047278137395
192,193000.0,1846.0,2952.055,224.50199548110928
193,194000.0,1851.0,2958.725,209.4071664843398
194,195000.0,1859.0,2922.016,289.0178778968526
195,196000.0,1866.0,2925.289,269.83417033244694
196,197000.0,1873.0,2902.347,336.34485961732787
197,198000.0,1885.0,2931.79,279.9328239060222
198,199000.0,1891.0,2934.89,266.0611318851365
199,200000.0,1899.0,2972.849,173.7341710746622
200,201000.0,1907.0,2959.487,221.59596077320543
201,202000.0,1915.0,2956.847,226.34594228967305
202,203000.0,1921.0,2956.114,231.12107433983599
203,204000.0,1931.0,2968.783,181.88255526850284
204,205000.0,1938.0,2963.066,207.89577591668382
205,206000.0,1946.0,2953.604,236.97814495011983
206,207000.0,1950.0,2954.046,241.57037873878494
207,208000.0,1956.0,2954.84,232.06366884973616
208,209000.0,1965.0,2946.292,256.1824052037922
209,210000.0,1976.0,2966.266,192.06941256743616
210,211000.0,1986.0,2949.195,250.960939141931
211,212000.0,1993.0,2955.467,245.69399038438038
212,213000.0,1995.0,2963.367,198.58695906579567
213,214000.0,2001.0,2954.991,221.26888827623281
214,215000.0,2006.0,2971.797,169.65457197199254
215,216000.0,2016.0,2954.999,231.6888711159861
216,217000.0,2019.0,2961.309,201.93191307715577
217,218000.0,2025.0,2961.355,211.77838174610744
218,219000.0,2033.0,2964.402,190.86042647966602
219,220000.0,2039.0,2945.281,252.85341611099503
220,221000.0,2048.0,2952.316,235.03790363258432
221,222000.0,2055.0,2952.738,215.89124891018628
222,223000.0,2064.0,2965.935,188.31910889498175
223,224000.0,2070.0,2979.327,142.71648843423802
224,225000.0,2080.0,2960.988,201.0458799776807
225,226000.0,2092.0,2972.737,175.30326246536316
226,227000.0,2090.0,2956.322,217.50183060379055
227,228000.0,2100.0,2973.656,169.39335188843745
228,229000.0,2106.0,2976.811,153.58361657090902
229,230000.0,2112.0,2963.301,191.96328398680828
230,231000.0,2116.0,2960.138,216.5547112302108
231,232000.0,2126.0,2958.116,214.88509614210105
232,233000.0,2128.0,2957.885,218.95901848291157
233,234000.0,2137.0,2966.619,189.77221039709687
