,best time ,mean time for top 25%,standart deviation for top 25%,mean time for all,standart deviation for all
0,866.0,777.34375,43.437893433470045,632.875,114.29546414884538
1,977.0,832.71875,52.40541144230718,674.6171875,132.7725452308942
2,1106.0,850.46875,63.15505936532322,689.59375,130.18475078110146
3,1086.0,881.5,65.0182666640691,712.0,133.8362455577711
4,1092.0,869.6875,62.646048109597466,698.796875,133.86609210414105
5,1038.0,890.0,48.201400394594344,714.984375,138.13930832988623
6,1077.0,927.6875,66.03476238883577,726.03125,156.26384626149934
7,1259.0,945.3125,80.47221473123503,738.90625,161.2228386765892
8,1102.0,942.15625,55.10961201040613,747.125,152.04167808531975
9,1059.0,962.5,54.02372164151596,769.6796875,147.8248506253341
10,1363.0,1020.875,85.72913375860041,786.2265625,174.24655730295962
11,1484.0,1041.21875,141.7907204242841,801.984375,188.9715580606229
12,1351.0,1014.90625,102.85164053595597,786.125,173.0257838444895
13,1273.0,1116.25,64.04441817988513,890.8125,184.45751331607505
14,1427.0,1188.96875,110.80119707583262,923.9609375,200.8935275503447
15,1536.0,1178.0,115.95015092702553,901.953125,217.45185743684596
16,1519.0,1202.5625,123.59610064136328,939.40625,204.82292037498513
17,1574.0,1205.53125,97.09273414338222,955.1875,194.51653809830668
18,1947.0,1386.59375,175.90850948984107,1032.0078125,279.60984246171455
19,1879.0,1466.90625,175.04345163683644,1025.6171875,316.10453969705947
20,3000.0,1684.03125,365.05705755872947,1157.890625,403.9506512708073
21,2611.0,1844.28125,308.34125113003853,1229.3828125,439.82523377711044
22,3000.0,1826.875,315.76452361688763,1237.1328125,426.23624191678005
23,3000.0,2563.71875,347.68729074908316,1579.0703125,669.4169359365301
24,3000.0,2745.125,293.3427762447884,1686.578125,734.3540061826342
25,3000.0,2805.9375,253.4488283534765,1724.359375,784.9176881046888
26,3000.0,3000.0,0.0,1918.1484375,872.6490568400384
27,3000.0,3000.0,0.0,2021.4453125,857.0515300343833
28,3000.0,3000.0,0.0,2042.609375,867.4835214066659
29,3000.0,3000.0,0.0,1948.75,937.8712015117001
30,3000.0,3000.0,0.0,1761.3125,892.1285094333383
31,3000.0,3000.0,0.0,1911.546875,875.3250455132278
32,3000.0,3000.0,0.0,1928.9765625,900.5853518757584
33,3000.0,3000.0,0.0,1765.7265625,893.840115341907
34,3000.0,3000.0,0.0,2102.3984375,839.7363550157029
35,3000.0,3000.0,0.0,2249.171875,840.775944713563
